feature,importance
exrate_zar_usd_lag_2,0.161305770277977
exrate_zar_usd_lag_3,0.14916834235191345
cpi_lag_1,0.12443166971206665
y_roll_mean_3,0.10703307390213013
cpi_lag_2,0.10389187932014465
cpi_lag_3,0.04293360188603401
month_12,0.038882527500391006
y_level,0.028291579335927963
y_lag_6,0.02750270441174507
price_roll_mean_6,0.022554801777005196
price_lag_3,0.021539835259318352
y_lag_1,0.01863505132496357
industrial_production_index_lag_1,0.016359418630599976
price_lag_6,0.016028985381126404
y_roll_mean_6,0.01585252955555916
price_roll_std_6,0.014521649107336998
price_lag_2,0.0143709322437644
industrial_production_index_lag_2,0.006928968708962202
price_lag_5,0.00687073590233922
price_lag_4,0.005242336541414261
y_pct_change_1,0.0043830894865095615
price_lag_1,0.004307187162339687
price_pct_change_12,0.0042575933039188385
price_roll_std_12,0.0038748467341065407
price_roll_mean_12,0.0037431332748383284
price_roll_mean_3,0.0035834957379847765
y_lag_12,0.0032600362319499254
month_10,0.0030329416040331125
y_lag_3,0.002891430165618658
month_7,0.0025898367166519165
