feature,importance
exrate_zar_usd_lag_3,0.16949229805130195
y_level,0.16437843993002205
y_roll_mean_3,0.11902245862087549
exrate_zar_usd_lag_2,0.09520921970420625
exrate_zar_usd_lag_1,0.09353066615816381
y_lag_1,0.06805194836216939
y_lag_6,0.03410224145755195
industrial_production_index_lag_1,0.02344041433698144
price_roll_std_6,0.020818865492278387
y_roll_mean_6,0.015708540602689832
price_lag_3,0.013904203251730762
cpi_lag_3,0.013572004763346716
industrial_production_index_lag_2,0.012067170779591324
cpi_lag_1,0.011845562057168356
cpi_lag_2,0.011253360001561602
price_lag_5,0.009618031989289406
price_roll_mean_6,0.009154626326826712
y_lag_12,0.008454224373025994
price_roll_mean_12,0.008325926946333738
month_12,0.008100264816776866
price_pct_change_1,0.00750954564076127
y_roll_std_3,0.007082432473123134
price_roll_std_12,0.0068972229772839636
y_lag_3,0.006878465402559434
price_pct_change_12,0.006479274054680984
y_pct_change_1,0.006245845492950402
price_roll_std_3,0.0056423455407671
price_lag_6,0.00558269435143465
price_lag_2,0.005146483933600313
y_roll_std_12,0.004564972091227319
