feature,importance
price_roll_mean_12,0.12821264564990997
price_lag_6,0.12518584728240967
price_lag_3,0.07364621013402939
exrate_zar_usd_lag_1,0.06822843104600906
price_roll_mean_3,0.05671272426843643
cpi_lag_1,0.056494541466236115
industrial_production_index_lag_2,0.053025491535663605
cpi_lag_3,0.0470442920923233
price_roll_mean_6,0.03974435105919838
exrate_zar_usd_lag_3,0.03342000022530556
month_3,0.026726309210062027
exrate_zar_usd_lag_2,0.024486683309078217
price_lag_4,0.021580010652542114
price_lag_5,0.020661460235714912
y_roll_mean_3,0.015396017581224442
y_roll_mean_12,0.015118436887860298
price_roll_std_6,0.014700540341436863
price_roll_std_12,0.013869328424334526
month_12,0.013452251441776752
month_4,0.012851161882281303
month_8,0.01246364414691925
price_lag_2,0.011354146525263786
y_lag_1,0.010011309757828712
industrial_production_index_lag_3,0.0098606888204813
month_6,0.008824381045997143
y_lag_3,0.008255856111645699
y_roll_std_3,0.007591150235384703
industrial_production_index_lag_1,0.00734825199469924
month_1,0.007304939441382885
price_roll_std_3,0.006729709450155497
