feature,importance
price_roll_mean_6,0.06256213247647945
price_lag_6,0.054362993497007794
price_roll_std_12,0.049793825809770265
industrial_production_index_lag_3,0.04759965426532714
exrate_zar_usd_lag_1,0.04737852592487856
price_roll_std_6,0.04325358275311508
y_lag_6,0.03917633754213945
y_roll_std_12,0.039138778704811535
y_roll_mean_3,0.03334551626512501
price_roll_mean_12,0.03327314381775405
exrate_zar_usd_lag_3,0.03233988532251313
price_lag_2,0.02632244434936812
industrial_production_index_lag_2,0.025848221641151137
price_roll_std_3,0.024903854631728645
price_lag_3,0.02459951874931927
y_lag_12,0.0243410216542543
y_lag_1,0.0237653712765109
industrial_production_index_lag_1,0.02368949466871274
y_pct_change_1,0.022794919085006908
y_pct_change_12,0.022475195670740963
price_pct_change_1,0.021981136129569808
y_roll_std_6,0.019666519518928484
price_lag_5,0.019544003322515397
y_roll_std_3,0.01907426038243906
exrate_zar_usd_lag_2,0.01829430885694464
price_pct_change_12,0.01701242815141132
cpi_lag_3,0.01671662205922073
cpi_lag_2,0.01636950215855844
price_roll_mean_3,0.01592499196991207
y_lag_3,0.015770240137099226
