feature,importance
month_6,0.12775059044361115
price_roll_mean_6,0.0934520959854126
price_roll_mean_12,0.0863417461514473
price_lag_6,0.05711130052804947
month_12,0.056370675563812256
exrate_zar_usd_lag_1,0.04373900592327118
cpi_lag_1,0.03597905859351158
industrial_production_index_lag_3,0.03574490547180176
price_roll_mean_3,0.02484244853258133
y_lag_6,0.024245889857411385
y_roll_std_12,0.02268449030816555
industrial_production_index_lag_1,0.02116732858121395
price_lag_3,0.020723018795251846
exrate_zar_usd_lag_2,0.01934881880879402
y_roll_mean_3,0.019068948924541473
industrial_production_index_lag_2,0.01736839860677719
price_lag_1,0.016828034073114395
price_lag_2,0.016611270606517792
y_pct_change_1,0.01639646291732788
price_lag_5,0.016118740662932396
month_3,0.015676414594054222
y_roll_std_6,0.0149861304089427
price_roll_std_12,0.014368163421750069
exrate_zar_usd_lag_3,0.013827644288539886
month_5,0.013719966635107994
price_roll_std_6,0.013660219497978687
y_pct_change_12,0.01306538749486208
month_7,0.011929878033697605
price_roll_std_3,0.011748773977160454
month_4,0.010314017534255981
