feature,importance
exrate_zar_usd_lag_3,0.13273880734478538
price_roll_mean_12,0.08435294521914244
y_roll_std_3,0.05562525854149479
price_roll_std_6,0.044673658913205176
price_roll_std_12,0.036458586370171533
industrial_production_index_lag_3,0.034440003748778536
price_lag_6,0.03391305513300331
y_roll_std_6,0.032669131521997075
price_pct_change_1,0.030683473019192053
industrial_production_index_lag_2,0.028407471950283553
industrial_production_index_lag_1,0.02790661271503369
y_level,0.023914227811370745
y_roll_mean_6,0.022574866330653937
y_lag_12,0.022386144026441658
price_roll_std_3,0.022198765058816204
y_lag_3,0.022129955047835524
month_9,0.020816693314527564
exrate_zar_usd_lag_2,0.020236429968406733
price_lag_5,0.020093827048443293
y_lag_6,0.019244680064733122
y_roll_mean_3,0.018240054484490013
price_roll_mean_3,0.01783784641427038
y_roll_mean_12,0.017778168793481004
y_lag_1,0.017038178643487275
y_pct_change_1,0.016930949673743312
y_pct_change_12,0.016640119512640154
cpi_lag_1,0.016232745301384834
y_roll_std_12,0.01515232881820365
cpi_lag_3,0.014159980265638994
exrate_zar_usd_lag_1,0.014102480539646464
