feature,importance
exrate_zar_usd_lag_3,0.13235417008399963
cpi_lag_1,0.11258930712938309
price_roll_mean_12,0.09842231869697571
cpi_lag_2,0.0680442601442337
month_9,0.05147501453757286
cpi_lag_3,0.04130849242210388
month_6,0.02766510285437107
y_roll_std_3,0.02746596746146679
y_roll_std_6,0.027022726833820343
industrial_production_index_lag_1,0.024322861805558205
price_roll_std_12,0.021947328001260757
industrial_production_index_lag_2,0.02071373723447323
price_pct_change_1,0.020681843161582947
price_roll_mean_6,0.017716318368911743
month_7,0.017609523609280586
industrial_production_index_lag_3,0.016748648136854172
price_roll_std_6,0.016636552289128304
price_roll_mean_3,0.01625017821788788
y_roll_mean_6,0.015939446166157722
y_roll_std_12,0.01479281671345234
y_roll_mean_12,0.014791114255785942
price_lag_6,0.01337364036589861
price_roll_std_3,0.012760093435645103
month_8,0.01268717460334301
price_lag_4,0.012113306671380997
price_lag_5,0.01166751142591238
month_3,0.010858607478439808
price_lag_1,0.01085792388767004
price_lag_3,0.010768553242087364
y_pct_change_12,0.010749452747404575
